,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,bairnsdale,AU,AU,1544316726,97,-37.83,147.63,292.442,1.77
376,dubbo,AU,AU,1544315400,27,-32.25,148.6,304.15,3.6
377,mahibadhoo,MV,MV,1544316727,100,3.78,72.97,300.567,4.57
378,mackay,CA,CA,1544313600,53,53.65,-115.58,268.14,2.1
379,jerusalem,PS,PS,1544314800,82,31.78,35.23,287.15,2.1
380,trat,TH,TH,1544313600,100,12.25,102.51,297.15,1.0
381,guayaramerin,BO,BO,1544316728,85,-10.82,-65.36,298.467,1.17
382,banda aceh,ID,ID,1544316728,100,5.56,95.32,296.217,1.02
383,lavrentiya,RU,RU,1544316728,100,65.58,-170.99,266.367,13.77
384,namibe,AO,AO,1544316729,100,-15.19,12.15,294.367,1.97
385,mehamn,NO,NO,1544316729,100,71.03,27.85,260.317,2.47
386,agadez,NE,NE,1544316729,43,16.97,7.99,289.467,5.57
387,marawi,PH,PH,1544316729,91,8.0,124.29,296.217,1.37
388,aguas vermelhas,BR,BR,1544316730,100,-15.75,-41.46,291.817,2.47
389,amapa,HN,HN,1544316730,67,15.09,-87.97,295.692,0.87
390,naifaru,MV,MV,1544316730,100,5.44,73.37,301.367,4.77
391,saint-augustin,FR,FR,1544313600,87,44.83,-0.61,287.15,8.7
392,takoradi,GH,GH,1544316451,100,4.89,-1.75,300.517,3.47
393,koson,UZ,UZ,1544313600,87,39.04,65.59,281.15,1.0
394,wamba,CD,CD,1544316731,85,2.14,27.99,293.442,0.97
395,jaguaribe,BR,BR,1544316731,94,-5.88,-38.62,295.067,1.22
396,mouila,GA,GA,1544316732,100,-1.86,11.06,294.792,1.22
397,ciudad bolivar,VE,VE,1544316732,63,8.12,-63.55,300.467,5.02
398,goundam,ML,ML,1544316523,53,16.42,-3.66,288.567,2.27
399,tamandare,BR,BR,1544316584,91,-8.28,-70.75,297.467,1.57
400,barcelos,PT,PT,1544313600,100,41.53,-8.62,281.71,1.0
401,kasongo,CD,CD,1544316733,99,-4.43,26.67,293.392,1.12
402,aksu,KZ,KZ,1544315400,64,52.04,76.93,256.15,5.0
403,fujinomiya,JP,JP,1544313600,56,35.24,138.62,278.15,9.3
404,bandarbeyla,SO,SO,1544316553,100,9.49,50.81,298.867,6.17
405,sola,NO,NO,1544314800,93,58.89,5.65,279.15,3.6
406,laguna,MX,MX,1544312400,36,27.52,-110.01,298.15,4.1
407,paoua,CF,CF,1544316734,52,7.24,16.43,294.442,3.42
408,lianzhou,CN,CN,1544316734,100,24.79,112.38,274.467,1.17
409,anadyr,RU,RU,1544315400,75,64.73,177.51,247.15,5.0
410,macau,BR,BR,1544316735,87,-5.11,-36.64,297.892,3.07
411,mortara,IT,IT,1544314800,80,45.25,8.74,276.18,3.6
412,ballina,IE,IE,1544316736,98,54.11,-9.15,281.267,8.07
413,corrente,BR,BR,1544316736,95,-17.45,-44.68,292.467,2.47
414,alyangula,AU,AU,1544313600,62,-13.85,136.42,305.15,3.6
415,talnakh,RU,RU,1544316736,73,69.49,88.39,253.817,7.87
416,manacapuru,BR,BR,1544313600,100,-3.3,-60.62,296.15,2.42
417,rio grande,BR,BR,1544316737,77,-32.03,-52.1,291.542,5.27
418,khani,GE,GE,1544315400,100,41.96,42.96,278.15,1.0
419,chichester,GB,GB,1544314800,81,50.84,-0.78,281.45,7.2
420,naze,NG,NG,1544316470,89,5.43,7.07,296.392,2.32
421,santa marinella,IT,IT,1544314800,80,42.04,11.87,279.21,1.5
422,hami,CN,CN,1544316738,45,42.84,93.51,250.892,0.57
423,veraval,FR,FR,1544313600,76,49.65,0.71,283.48,8.2
424,cherskiy,RU,RU,1544316739,75,68.75,161.3,241.617,1.42
425,lagoa,PT,PT,1544313600,81,37.14,-8.45,285.15,2.1
426,antofagasta,CL,CL,1544313600,77,-23.65,-70.4,290.15,4.1
427,marsh harbour,BS,BS,1544316739,100,26.54,-77.06,297.217,6.52
428,okhotsk,RU,RU,1544316740,100,59.36,143.24,259.542,3.17
429,northam,GB,GB,1544313000,81,51.04,-4.21,283.15,11.3
430,vigrestad,NO,NO,1544314800,93,58.57,5.7,279.15,3.6
431,mokhsogollokh,RU,RU,1544316476,52,61.4,128.95,245.267,2.32
432,kita,JP,JP,1544315400,45,35.76,139.74,280.59,5.7
433,barbastro,ES,ES,1544313600,70,42.04,0.13,279.63,5.1
434,itacoatiara,BR,BR,1544316630,88,-3.14,-58.44,298.967,1.92
435,quatre cocos,MU,MU,1544313600,88,-20.21,57.76,298.15,4.6
436,manono,CD,CD,1544316741,100,-7.3,27.4,293.517,2.87
437,rundu,NA,NA,1544316742,79,-17.91,19.77,291.417,1.02
438,mecca,SA,SA,1544316508,83,21.43,39.83,283.442,1.32
439,blacksburg,US,US,1544315700,61,37.23,-80.41,274.06,3.1
440,tongren,CN,CN,1544316742,94,27.72,109.18,269.542,3.02
441,port augusta,AU,AU,1544313600,69,-32.49,137.76,296.15,5.7
442,penarroya-pueblonuevo,ES,ES,1544315400,93,38.3,-5.27,279.15,0.5
443,basco,US,US,1544315700,79,40.33,-91.2,268.09,3.1
444,harlingen,US,US,1544315700,91,26.19,-97.7,286.46,1.5
445,vangaindrano,MG,MG,1544316658,95,-23.35,47.6,294.567,1.17
446,resistencia,AR,AR,1544313600,64,-27.45,-58.99,294.67,3.1
447,la tuque,CA,CA,1544316744,76,47.44,-72.79,255.017,1.22
448,zasheyek,RU,RU,1544316744,89,67.41,32.55,269.467,2.17
449,clyde river,CA,CA,1544313600,68,70.47,-68.59,245.15,2.1
450,chapleau,CA,CA,1544314620,85,47.85,-83.4,267.15,4.1
451,ewo,CG,CG,1544316745,98,-0.88,14.81,293.167,1.27
452,mago,RU,RU,1544316745,86,53.27,140.15,256.617,0.97
453,kloulklubed,PW,PW,1544313240,88,7.04,134.26,300.15,5.1
454,thomaston,US,US,1544315700,81,32.89,-84.33,278.76,6.2
455,krasnovishersk,RU,RU,1544316746,89,60.4,57.08,266.192,1.97
456,kodinsk,RU,RU,1544316614,41,58.6,99.18,240.692,1.07
457,tabu,IQ,IQ,1544316747,93,31.52,47.32,282.317,1.32
458,brae,GB,GB,1544314800,80,60.4,-1.35,278.15,12.9
459,cap-aux-meules,CA,CA,1544313600,57,47.38,-61.86,266.15,6.2
460,ust-koksa,RU,RU,1544316747,25,50.27,85.62,243.967,0.82
461,portland,US,US,1544313360,64,45.52,-122.67,278.21,4.6
462,kulim,MY,MY,1544315400,94,5.37,100.55,298.6,1.0
463,grand-santi,GF,GF,1544316748,100,4.27,-54.38,295.292,1.17
464,nurobod,UZ,UZ,1544315400,87,40.91,69.8,282.15,7.2
465,camacupa,AO,AO,1544316749,95,-12.02,17.48,290.917,2.62
466,raudeberg,NO,NO,1544314800,100,61.99,5.14,279.15,5.7
467,inhambane,MZ,MZ,1544316749,91,-23.87,35.38,299.692,4.32
468,beloha,MG,MG,1544316750,92,-25.17,45.06,294.692,2.22
469,nongstoin,IN,IN,1544316750,91,25.52,91.27,280.067,0.87
470,ouro preto do oeste,BR,BR,1544316628,93,-10.75,-62.22,297.667,0.17
471,jishu,CN,CN,1544316750,96,44.29,126.79,250.792,2.97
472,ampanihy,MG,MG,1544316751,93,-24.69,44.75,293.817,3.12
473,meulaboh,ID,ID,1544316462,100,4.14,96.13,298.792,1.42
474,luzino,RU,RU,1544315400,59,54.95,73.03,255.15,5.0
475,kaa-khem,RU,RU,1544316751,61,51.7,94.56,242.867,0.87
476,kalabo,ZM,ZM,1544316752,88,-15.0,22.67,294.042,2.22
477,sao joao da barra,BR,BR,1544316752,100,-21.64,-41.05,296.167,6.47
478,basse-pointe,MQ,MQ,1544315400,74,14.87,-61.12,299.15,5.1
479,callaguip,PH,PH,1544313600,73,18.07,120.49,297.15,2.1
480,kathmandu,NP,NP,1544314800,100,27.71,85.32,278.15,1.5
481,oxford,US,US,1544315700,100,33.61,-85.83,279.11,5.1
482,acajutla,SV,SV,1544313000,61,13.59,-89.83,299.15,1.0
483,dovers,VC,VC,1544313600,78,12.88,-61.18,299.15,5.7
484,sibolga,ID,ID,1544316641,100,1.74,98.78,293.517,0.92
485,biltine,TD,TD,1544316753,65,14.53,20.93,287.617,1.17
486,valverde del camino,ES,ES,1544316754,79,37.57,-6.75,275.042,1.12
487,nuuk,GL,GL,1544313000,79,64.17,-51.74,266.15,4.6
488,tubuala,PA,PA,1544313600,83,9.52,-79.03,300.15,2.97
489,bronnoysund,NO,NO,1544314800,64,65.46,12.2,275.15,6.7
490,bandipur,IN,IN,1544316755,94,11.67,76.63,290.792,0.72
491,mandalgovi,MN,MN,1544316755,58,45.76,106.27,242.517,2.22
492,road town,VG,VG,1544313600,74,18.42,-64.62,299.21,3.6
493,lukow,PL,PL,1544316756,92,51.93,22.38,275.167,6.27
494,waitati,NZ,NZ,1544316756,73,-45.75,170.57,294.417,1.47
495,biak,ID,ID,1544316472,90,-0.91,122.88,301.467,0.97
496,port pirie,AU,AU,1544313600,69,-33.18,138.01,296.15,5.7
497,ust-maya,RU,RU,1544316757,39,60.42,134.54,240.917,0.97
498,atasu,KZ,KZ,1544316757,54,48.68,71.64,252.292,2.77
499,mangan,IN,IN,1544316757,64,27.5,88.54,265.417,0.67
500,gaurela,IN,IN,1544316757,83,22.75,81.9,282.217,1.22
501,numan,NG,NG,1544316758,53,9.46,12.04,295.117,3.92
502,guaymas,MX,MX,1544312460,44,27.92,-110.9,298.15,5.1
503,hervey bay,AU,AU,1544313600,65,-25.3,152.85,299.15,7.7
504,neyshabur,IR,IR,1544316758,78,36.21,58.79,270.542,1.07
505,ibra,OM,OM,1544316759,96,22.69,58.55,286.667,0.97
506,port keats,AU,AU,1544316622,93,-14.25,129.55,303.917,3.02
507,san jose,PH,PH,1544316571,72,15.79,120.99,298.667,1.42
508,omsukchan,RU,RU,1544316760,44,62.53,155.8,239.042,1.42
509,gat,SN,SN,1544315400,69,14.69,-16.54,295.08,5.7
510,kilindoni,TZ,TZ,1544316665,100,-7.91,39.67,301.392,2.97
511,tafresh,IR,IR,1544316760,74,34.69,50.01,269.392,1.22
512,hyeres,FR,FR,1544313600,62,43.12,6.14,285.61,3.1
513,vestmanna,FO,FO,1544314800,64,62.16,-7.17,276.15,7.2
514,wanning,AT,AT,1544314800,99,48.64,13.53,281.15,4.1
515,lenine,UA,UA,1544316762,96,45.3,35.78,278.717,3.32
516,catamayo,EC,EC,1544316762,62,-3.99,-79.36,290.667,0.32
517,senador jose porfirio,BR,BR,1544316732,100,-2.59,-51.95,296.642,0.57
518,zarubino,RU,RU,1544316762,100,42.65,131.06,261.892,6.22
519,warman,CA,CA,1544313600,84,52.32,-106.58,260.15,3.6
520,itarema,BR,BR,1544316667,91,-2.92,-39.92,297.692,2.77
521,gigmoto,PH,PH,1544316763,100,13.78,124.39,300.067,5.92
522,coos bay,US,US,1544313360,83,43.37,-124.22,285.95,2.87
523,munkebo,SE,SE,1544314800,100,58.32,15.65,278.15,4.1
524,hualmay,PE,PE,1544316764,85,-11.1,-77.61,291.942,2.72
525,kaina,NG,NG,1544313600,59,12.64,8.59,289.15,1.87
526,fairbanks,US,US,1544313480,94,64.84,-147.72,265.14,1.42
527,kuminskiy,RU,RU,1544316765,68,58.67,66.57,261.017,3.02
528,tura,IN,IN,1544316765,85,25.52,90.21,284.317,1.07
529,omboue,GA,GA,1544316765,100,-1.57,9.26,298.942,1.72
530,formosa do rio preto,BR,BR,1544316765,91,-11.04,-45.19,296.142,1.27
531,minot,US,US,1544313360,76,48.23,-101.3,264.24,4.1
532,turbat,PK,PK,1544316766,82,26.0,63.05,286.117,0.62
533,sinazongwe,ZM,ZM,1544316766,88,-17.26,27.46,297.767,1.02
534,tooele,US,US,1544315700,92,40.53,-112.3,273.42,2.6
535,padang,ID,ID,1544311800,94,-0.92,100.36,297.15,1.0
536,venice,US,US,1544315700,73,27.1,-82.45,293.49,2.1
537,yeniseysk,RU,RU,1544316767,58,58.45,92.17,244.292,1.42
538,hwange,ZW,ZW,1544316767,96,-18.35,26.5,292.217,1.37
539,mega,ET,ET,1544316768,76,4.06,38.32,291.292,2.32
540,emba,CY,CY,1544315400,82,34.81,32.42,285.5,3.6
541,palembang,ID,ID,1544315400,94,-2.99,104.76,297.15,1.87
542,tilichiki,RU,RU,1544316768,45,60.47,166.1,239.442,1.52
